Count,Subdomain
11894624,www
600521,webmail
574063,mail
361624,blog
358978,dip0
352445,dev
300990,test
267781,autodiscover
267623,git
265780,shop
258044,hostmaster
224586,store
215043,www6
199078,cpanel
191780,webdisk
185054,staging
173759,demo
166209,cloud
156953,gitlab
141125,magento
132360,old
114888,mx
107884,cpcalendars
107689,cpcontacts
106249,login
103361,admin
98943,cloudapp
98770,m
87720,vpn
85429,remote
82632,smtp
79247,de
79035,api
55489,magento2
54325,autoconfig
52488,www1
51450,app
50478,stage
49655,germanycentral
49439,germanynortheast
44502,wp
42623,comune
41096,static
39806,web
36892,wordpress
36442,owa
36129,neu
34597,qa
34216,imap
33477,a
33407,beta
33254,office
33081,ww16
32968,nextcloud
32868,comp
32518,clients
31820,com
31792,support
31646,crm
31075,portal
30950,wiki
30091,forum
29190,home
28882,new
28851,intern
28354,cms
28150,server
27413,secure
26433,ftp
26380,intranet
26002,catalog
25537,review
25532,ad
25390,cart
23041,en
22579,ww1
21361,pop
21168,news
20833,ww7
20801,mta-sts
20313,dan
20111,testing
20042,email
20009,sitemap
19940,preview
19686,datenbaeren-test
19618,lpr
18970,rz
18574,exchange
18486,in
18434,us
18383,dev2
18208,chat
17959,apps
17501,backend
17343,sitemaps
16707,phpmyadmin
16119,sandbox
15608,next
15498,prod
15389,meet
15225,ss
15061,dev1
14969,service
14922,pools
14890,traefik
14815,dedicated
14778,pop3
14730,nc
14728,panel
14686,cdn
14644,mobile
14309,info
14039,backup
13959,www2
13758,owncloud
13614,development
13432,ssl
13426,status
13113,outlook
13063,my
13061,k8s
12961,webpack
12948,matomo
12790,_dmarc
12552,dev3
12547,moodle
12394,local
12301,iserv
12256,analytics
12192,auth
11981,sunshop
11944,do-not-reply
11701,dashboard
11670,lime
11619,piwik
11547,newsletter
11472,grafana
11465,informatik
11323,securetest
11312,mx0
11090,laravel
11020,mail1
11012,cs
10961,tools
10947,files
10932,media
10900,stg
10714,live
10700,int
10611,mx1
10571,aws
10468,portainer
10239,alt
10070,pma
9763,db
9691,mail2
9497,correo
9493,ww5
9309,stats
9304,dynamic
9204,relaunch
9201,mailserver
8975,internal
8952,jira
8943,mailgate
8940,mx2
8927,download
8924,mailhost
8853,mx01
8707,dav
8523,builder
8400,mail01
8396,webdav
8302,2019
8284,game
8191,wildcard-mtk4mzeymjyk
8144,jobs
8015,mail3
8011,data
7831,srv
7789,karriere
7778,v2
7773,nas
7648,whm
7594,2020
7532,matrix
7283,cal
7254,citrix
7178,uat
7174,erp
7169,projects
7060,docker
7055,posta
7012,bitwarden
7008,site
6984,ipv6
6977,ex
6949,share
6900,develop
6818,gate
6806,go
6791,jitsi
6755,bcsv
6755,idm
6611,registry
6590,proxy
6557,kunden
6546,s
6509,video
6394,docs
6386,dns
6381,alpha
6374,it
6360,services
6356,server1
6312,test2
6233,monitoring
6210,mysql
6188,ticket
6167,archiv
6161,fr
6142,web07
6142,hosting
6129,pos
6064,pool
6008,caldav
5928,lms
5866,update
5824,1
5790,host
5703,sip
5685,gw
5661,events
5610,tech
5595,oc
5582,ww25
5563,ww2
5557,front
5513,post
5502,plesk
5488,bbb
5482,box
5438,wpad
5394,gateway
5390,members
5387,jenkins
5383,ww
5375,lists
5365,c
5343,upload
5323,img
5322,wap
5312,pwa
5290,intra
5275,admins
5231,soa
5210,mobil
5198,link
5172,schule
5146,med
5109,bilder
5077,online
5075,ns
5058,booking
5057,invoice
5026,org
5025,webdesign
5015,extern
5009,mdm
4986,cp
4962,b2b
4946,fw
4915,system
4877,net
4873,utm
4866,w
4858,foodweb
4848,verwaltung
4827,monitor
4813,website
4808,pm
4779,d
4726,billing
4721,ns1
4689,partner
4665,relay
4659,w3
4643,2
4629,authsmtp
4614,4
4576,ci
4569,mc
4552,5
4544,ds
4542,collabora
4535,ww8
4506,community
4498,msgweb
4490,rrze
4490,server2
4482,ads
4442,2018
4426,dyn
4424,p
4405,postmaster
4394,smtpauth
4386,client
4358,amboss
4346,synapse
4309,hrz
4293,ts
4293,mailer
4282,root
4252,ba
4247,tickets
4238,account
4235,test1
4225,shopware
4223,hub
4219,77
4214,physik
4210,wolke
4208,turn
4201,w1
4197,sql
4191,itz
4158,hr
4155,nl
4141,manager
4138,es
4112,vault
4109,sync
4107,previews
4095,prometheus
4087,academy
4086,drive
4054,typo3
4049,core
4011,confluence
3958,bw
3936,code
3934,b
3912,images
3907,nextapi
3905,legacy
3896,ribosom
3896,sessionlessapi
3896,vesikel
3894,console
3876,main
3867,lab
3846,umfrage
3843,us-en
3840,dyndns
3839,connect
3833,firewall
3796,lyncdiscover
3770,preprod
3770,plex
3754,conference
3738,0
3733,team
3725,spam
3723,training
3722,pay
3716,muenchen
3702,95
3684,plugin
3667,ww11
3645,order
3641,access
3635,platform
3633,3
3608,statistik
3606,t
3605,painel
3598,sqs
3589,play
3567,002
3565,hermes
3565,at
3557,ub
3549,pb
3538,stream
3530,help
3521,fotos
3503,transfer
3502,devops
3499,ms
3497,smtps
3488,e
3484,bewerbung
3483,uk
3468,g
3461,dbadmin
3460,mailing
3457,redmine
3445,klick
3435,poczta
3425,webapp
3420,9
3418,phoenix
3415,mailgw
3413,production
3399,tap
3397,h5
3394,bbs
3391,ldap
3388,acceptance
3384,backoffice
3380,bot
3363,sslpoc
3337,checkout
3334,unifi
3327,ns2
3327,helpdesk
3325,s3
3323,vs
3307,blogs
3302,sms
3301,ws
3285,assets
3277,speedycrm
3269,lb
3268,s1
3266,78
3259,gcp
3253,joomla
3229,envs
3195,v1
3186,storage
3185,sab-test
3185,tv
3159,message-broker
3152,reports
3141,mailin
3137,content
3125,web1
3125,business
3108,dl
3103,r
3101,developer
3095,sirius
3093,search
3079,entwicklung
3078,daten
3075,2017
3055,dms
3053,lp
3048,2021
3047,hochzeit
3038,cluster
3031,rest
3029,smtp1
3026,extranet
3023,survey
3023,mailx
3011,berlin
3011,master
3006,accounts
3003,bk
2989,pad
2985,zimbra
2964,staging2
2959,antispam
2942,mailstore
2932,ch
2917,gitea
2913,201
2911,project
2910,2022
2905,euc1
2896,le
2891,smtp2
2885,azure
2867,svn
2850,servers
2849,anmeldung
2848,ebay
2843,sw6
2832,kalender
2831,mein
2822,ipv4
2806,eas
2799,mails
2794,zmail
2787,rss
2782,bmwweb
2765,infra
2759,seafile
2743,cl3
2742,2016
2732,ha
